database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
15541,AC103,Clear Dorado Wedge Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,77.5,instock,82,https://trophymade.com/app/uploads/2023/04/AC103.webp,clear-dorado-wedge-acrylic-award,simple,,,,7,https://trophymade.com/app/uploads/2022/02/AC103_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15543,AC103-K,Black Dorado Wedge Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,77.5,instock,100,https://trophymade.com/app/uploads/2023/04/ACC09B-K.webp,black-dorado-wedge-acrylic-award,simple,,,,7,https://trophymade.com/app/uploads/2022/02/AC103_T.png,,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15718,AC151A-Z,Matterhorn Clear & Bronze Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,121.74,instock,40,https://trophymade.com/app/uploads/2023/04/AC151A-Z.webp,matterhorn-acrylic-award,simple,,5,,7,https://trophymade.com/app/uploads/2022/02/AC151B-S_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Prestige Acrylic",,
15749,AC201-1,Arch Clear Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,50.44,instock,467,https://trophymade.com/app/uploads/2023/04/AC201-1.webp,arch-acrylic-award,simple,,,,6.75,https://trophymade.com/app/uploads/2022/02/AC201-1_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15751,AC201-2,Peak Clear Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,50.44,instock,1418,https://trophymade.com/app/uploads/2023/04/AC201-2.webp,peak-acrylic-award-2,simple,,,,7.25,https://trophymade.com/app/uploads/2022/02/AC201-2_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15753,AC201-3,Wave Clear Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,50.44,instock,1151,https://trophymade.com/app/uploads/2023/04/AC201-3.webp,wave-acrylic-award-2,simple,,,,6.75,https://trophymade.com/app/uploads/2022/02/AC201-3_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15755,AC201-4,Diamond Clear Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,57.72,instock,611,https://trophymade.com/app/uploads/2023/04/AC201-4.webp,diamond-acrylic-award-2,simple,,,,7.875,https://trophymade.com/app/uploads/2022/02/AC201-4_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15757,AC201-5,Flame Clear Acrylic Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,57.72,instock,1544,https://trophymade.com/app/uploads/2023/04/AC201-5.webp,flame-acrylic-award-2,simple,,,,7.875,https://trophymade.com/app/uploads/2022/02/AC201-5_T.png,#03080f,Text and Logo|Logo|Text,Acrylic,Acrylic,"Awards, Economy Acrylic",,
15774,CRY402,Vespa Clear Crystal Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,206.59,instock,486,https://trophymade.com/app/uploads/2023/04/CRY402.webp,vespa-crystal-award,simple,,,,10.75,https://trophymade.com/app/uploads/2022/02/CRY402_T.png,#03080F,Text and Logo|Logo|Text,Crystal,Crystal,Awards,,
15781,CRY406,Stratford Clear Crystal Award,"From the best performing team to the highest salesperson, acknowledge those who have gone above and beyond with this award.<br><br>**Decorating on the award is for illustration purposes only**",0,,Medium,203.46,instock,120,https://trophymade.com/app/uploads/2023/04/CRY406.webp,stratford-crystal-award,simple,,,,8.625,https://trophymade.com/app/uploads/2022/02/CRY406_T.png,#03080F,Text and Logo|Logo|Text,Crystal,Crystal,Awards,,
