database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
18188,MS35112AG,Delta MVP Gold Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,9.44,instock,899,https://trophymade.com/app/uploads/2023/04/MS35112AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,delta-mvp-gold-medal,simple,,,2.375,2.75,https://trophymade.com/app/uploads/2022/08/STR_v3.png,,Award Details,Metal,Medals,"Achievement, Baseball, Basketball, Cricket, Football, Hockey, MVP, Rugby, Soccer","Achievement, Baseball, Basketball, Cricket, Football, Hockey, MVP, Rugby, Soccer",
18310,MS45117AG,Fusion Drama Gold Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,8.94,outofstock,0,https://trophymade.com/app/uploads/2023/04/MS45117AG.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,fusion-drama-gold-medal,simple,,,3,3,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Drama,Drama,
18580,MS34112G,Strata MVP Gold Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,8.02,instock,75,https://trophymade.com/app/uploads/2023/04/MS34112G-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,strata-mvp-gold-medal,simple,,,2,2,https://trophymade.com/app/uploads/2022/08/Square_v3.png,,Award Details,Metal,Medals,"Achievement, Baseball, Basketball, Football, Hockey, Lacrosse, MVP, Rugby, Soccer","Achievement, Baseball, Basketball, Football, Hockey, Lacrosse, MVP, Rugby, Soccer",
18646,MS32111AG,Wreath All Star Gold Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,7.8,instock,641,https://trophymade.com/app/uploads/2023/04/MS32111AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,wreath-all-star-gold-medal,simple,,,1.75,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Achievement,Achievement,
20302,MH43573AG,"Fusion 2"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,10.94,outofstock,-292,https://trophymade.com/app/uploads/2023/04/MH43573AG.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,fusion-2-club-logo-medal,simple,,,,3,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20303,MH36273AG,"Star 2"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,,,10.74,outofstock,-104,https://trophymade.com/app/uploads/2023/04/MH36273AG.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,star-2-club-logo-medal,simple,,,,2.5,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20314,MS34050G,"Strata Victory 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Gold,,10.02,instock,2104,https://trophymade.com/app/uploads/2023/04/MS34050G.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp|https://trophymade.com/app/uploads/2022/08/Square_v3.png,strata-victory-1-club-logo-medal,simple,,,,2,https://trophymade.com/app/uploads/2022/08/Square_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,"Victory, Your Club Logo","Victory, Your Club Logo",
18027,MSFE281A,Alpha Place Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE280A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-place-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,"1st / 2nd / 3rd Place, Achievement","1st / 2nd / 3rd Place, Achievement",
18029,MSFE281AG,Alpha Place Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18027,Gold,,7.62,instock,1291,https://trophymade.com/app/uploads/2023/04/MSFE281AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-place-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,"1st / 2nd / 3rd Place, Achievement","1st / 2nd / 3rd Place, Achievement",
18031,MSFE282AS,Alpha Place Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18027,Silver,,7.62,instock,1647,https://trophymade.com/app/uploads/2023/04/MSFE282AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-place-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,"1st / 2nd / 3rd Place, Achievement","1st / 2nd / 3rd Place, Achievement",
18033,MSFE283AZ,Alpha Place Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18027,Bronze,,7.62,instock,1839,https://trophymade.com/app/uploads/2023/04/MSFE283AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-place-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,"1st / 2nd / 3rd Place, Achievement","1st / 2nd / 3rd Place, Achievement",
18036,MSFE201A,Alpha Baseball Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE201A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-baseball-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Baseball,Baseball,
18038,MSFE201AG,Alpha Baseball Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18036,Gold,,7.62,instock,1901,https://trophymade.com/app/uploads/2023/04/MSFE201AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-baseball-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Baseball,Baseball,
18040,MSFE201AS,Alpha Baseball Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18036,Silver,,7.62,instock,442,https://trophymade.com/app/uploads/2023/04/MSFE201AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-baseball-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Baseball,Baseball,
18042,MSFE201AZ,Alpha Baseball Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18036,Bronze,,7.62,instock,587,https://trophymade.com/app/uploads/2023/04/MSFE201AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-baseball-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Baseball,Baseball,
18044,MSFE202A,Alpha Science Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE202A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-science-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18046,MSFE202AG,Alpha Science Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18044,Gold,,7.62,instock,125,https://trophymade.com/app/uploads/2023/04/MSFE202AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-science-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18048,MSFE202AS,Alpha Science Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18044,Silver,,7.62,instock,11,https://trophymade.com/app/uploads/2023/04/MSFE202AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-science-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18050,MSFE202AZ,Alpha Science Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18044,Bronze,,7.62,instock,95,https://trophymade.com/app/uploads/2023/04/MSFE202AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-science-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18052,MSFE203A,Alpha Rugby Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE203A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-rugby-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Rugby,Rugby,
18054,MSFE203AG,Alpha Rugby Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18052,Gold,,7.62,instock,411,https://trophymade.com/app/uploads/2023/04/MSFE203AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-rugby-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Rugby,Rugby,
18056,MSFE203AS,Alpha Rugby Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18052,Silver,,7.62,instock,274,https://trophymade.com/app/uploads/2023/04/MSFE203AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-rugby-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Rugby,Rugby,
18058,MSFE203AZ,Alpha Rugby Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18052,Bronze,,7.62,instock,300,https://trophymade.com/app/uploads/2023/04/MSFE203AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-rugby-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Rugby,Rugby,
18060,MSFE204A,Alpha Math Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE204A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-math-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18062,MSFE204AG,Alpha Math Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18060,Gold,,7.62,instock,128,https://trophymade.com/app/uploads/2023/04/MSFE204AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-math-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18064,MSFE204AS,Alpha Math Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18060,Silver,,7.62,instock,235,https://trophymade.com/app/uploads/2023/04/MSFE204AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-math-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18066,MSFE204AZ,Alpha Math Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,18060,Bronze,,7.62,instock,271,https://trophymade.com/app/uploads/2023/04/MSFE204AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-math-medal,variable,,,2,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,Academic,Academic,
18068,MSFE205A,Alpha MVP Medal,Celebrate and acknowledge great performance throughout the season with this award. **Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,7.62,instock,,https://trophymade.com/app/uploads/2023/04/MSFE205A-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,alpha-mvp-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details,Metal,Medals,"Achievement, Baseball, Basketball, Cricket, Football, Hockey, MVP, Rugby, Soccer","Achievement, Baseball, Basketball, Cricket, Football, Hockey, MVP, Rugby, Soccer",
